participant_id,session,trial_num,is_practice,face_image,face_nationality,face_duration_planned_s,face_duration_actual_s,reproduced_duration_s,reproduction_error_s
453,001,0,False,IL_F_01,israeli,0.8,0.8005996998399496,0.8502305997535586,0.05023059975355859
453,001,1,False,UK_F_05,uk,1.6,1.600835599936545,1.3840979002416134,-0.2159020997583867
453,001,2,False,UK_M_02,uk,0.8,0.8006674000062048,0.967123799957335,0.16712379995733495
453,001,3,False,IL_M_01,israeli,0.8,0.8002259000204504,1.0587957999669015,0.2587957999669015
453,001,4,False,UK_M_08,uk,0.8,0.8006123001687229,1.0096336002461612,0.20963360024616118
453,001,5,False,UK_M_04,uk,0.8,0.8002573000267148,0.933413399849087,0.13341339984908696
453,001,6,False,UK_F_06,uk,1.6,1.6063766996376216,1.7840046002529562,0.18400460025295606
453,001,7,False,IL_F_10,israeli,0.8,0.8002421003766358,1.5026030000299215,0.7026030000299215
453,001,8,False,UK_M_16,uk,1.6,1.6005508000962436,1.8179814997129142,0.21798149971291414
453,001,9,False,IL_M_08,israeli,0.8,0.8006485002115369,0.9420615998096764,0.14206159980967636
453,001,10,False,UK_M_10,uk,1.6,1.6084738001227379,1.7254631002433598,0.12546310024335972
453,001,11,False,IL_M_05,israeli,1.6,1.6003893995657563,1.3922565001994371,-0.20774349980056295
453,001,12,False,UK_F_13,uk,0.8,0.8006049003452063,1.2584778000600636,0.45847780006006356
453,001,13,False,UK_F_07,uk,0.8,0.8001418998464942,1.4176204996183515,0.6176204996183514
453,001,14,False,UK_M_11,uk,0.8,0.800259199924767,1.2009693998843431,0.4009693998843431
453,001,15,False,UK_F_01,uk,1.6,1.6002466999925673,1.6844148002564907,0.08441480025649062
453,001,16,False,IL_F_07,israeli,1.6,1.600243499968201,1.683646199759096,0.08364619975909582
453,001,17,False,IL_M_10,israeli,1.6,1.6001558997668326,1.9256919999606907,0.32569199996069065
453,001,18,False,IL_M_07,israeli,1.6,1.6000816999003291,0.4004564001224935,-1.1995435998775066
453,001,19,False,UK_M_06,uk,0.8,0.8080001999624074,1.650348600000143,0.850348600000143
453,001,20,False,UK_F_11,uk,1.6,1.6000604000873864,0.6001630001701415,-0.9998369998298586
453,001,21,False,IL_M_11,israeli,0.8,0.8081408999860287,0.6916105002164841,-0.10838949978351597
453,001,22,False,IL_F_11,israeli,1.6,1.6081154001876712,1.208601700142026,-0.39139829985797414
453,001,23,False,IL_M_06,israeli,0.8,0.8002376998774707,0.7998983999714255,-0.00010160002857451111
453,001,24,False,UK_M_13,uk,0.8,0.8001701002940536,1.142125299666077,0.34212529966607685
453,001,25,False,UK_M_09,uk,1.6,1.60052469978109,1.1250725998543203,-0.4749274001456798
453,001,26,False,UK_F_02,uk,1.6,1.6004984001629055,0.8082998003810644,-0.7917001996189357
453,001,27,False,UK_F_10,uk,1.6,1.60048560006544,1.4422166999429464,-0.15778330005705365
453,001,28,False,UK_F_15,uk,1.6,1.6004939996637404,0.600870099849999,-0.9991299001500011
453,001,29,False,IL_F_02,israeli,1.6,1.600127600133419,1.3089538998901844,-0.2910461001098157
453,001,30,False,UK_F_12,uk,0.8,0.8082159999758005,1.1254497999325395,0.3254497999325394
453,001,31,False,IL_F_03,israeli,0.8,0.8003603997640312,1.066756600048393,0.26675660004839297
