participant_id,session,face_image,familiarity_rating,attractiveness_rating
453,001,IL_M_06,67,43
453,001,IL_M_07,80,75
453,001,IL_M_11,79,14
453,001,UK_F_07,16,29
453,001,UK_F_06,24,20
453,001,UK_F_12,82,79
453,001,UK_F_10,28,74
453,001,IL_F_01,76,70
453,001,IL_F_03,76,86
453,001,UK_F_05,27,22
453,001,IL_F_07,72,77
453,001,UK_M_02,18,21
453,001,IL_F_10,72,74
453,001,IL_M_01,43,42
453,001,IL_F_02,93,90
453,001,UK_F_01,18,95
453,001,UK_M_06,25,21
453,001,UK_F_11,15,20
453,001,UK_M_08,18,12
453,001,UK_F_02,21,21
453,001,UK_M_13,20,18
453,001,UK_M_16,17,16
453,001,UK_F_13,17,17
453,001,IL_F_11,82,85
453,001,UK_M_04,16,13
453,001,IL_M_05,22,15
453,001,UK_M_10,16,18
453,001,IL_M_10,89,47
453,001,UK_F_15,24,22
453,001,IL_M_08,98,5
453,001,UK_M_11,15,15
453,001,UK_M_09,18,16
