participant_id,session,face_image,familiarity_rating,attractiveness_rating
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_03.jpeg,31,14
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_F_09.jpeg,74,58
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_F_12.jpeg,62,81
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_04.jpeg,30,64
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_07.jpeg,23,27
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_M_01.jpeg,28,18
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_05.jpeg,35,29
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_M_01.jpeg,80,19
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_14.jpeg,22,46
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_M_09.jpeg,49,36
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_F_10.jpeg,95,73
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_02.jpeg,44,37
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_M_04.jpeg,74,69
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_12.jpeg,33,100
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_M_06.jpeg,100,28
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_F_03.jpeg,93,100
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_M_11.jpeg,100,36
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_F_04.jpeg,92,84
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_F_02.jpeg,100,100
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_M_06.jpeg,17,18
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_01.jpeg,42,62
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_F_05.jpeg,90,52
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_15.jpeg,20,68
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_M_12.jpeg,24,23
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_M_10.jpeg,87,100
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_M_09.jpeg,100,100
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_11.jpeg,9,0
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_M_16.jpeg,7,6
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_F_10.jpeg,19,49
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_M_10.jpeg,21,18
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\UK_M_04.jpeg,30,28
777,002,C:\Users\Display\Desktop\Facefam_V1\experimental_faces\IL_M_02.jpeg,94,51
